Timestamp,How old are you?,What is your gender?,What is your University role?,What is your field of study?,"How busy are you outside of University? (jobs, other commitments, etc.)","How much time do you spend working on your University role(s)? (studying, classes, etc.)",How experienced are you with ChatGPT?,In what circumstances have you used ChatGPT? (multi-select),"On a scale of 1-5, how strongly do you believe that using ChatGPT for academics is a form of plagiarism?","If you have used ChatGPT, how satisfied were you with the depth of and accuracy of the information?",How helpful do you think ChatGPT is for the learning environment?
2/27/2023 22:15:39,17-23,,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",3,3,4,"To explain concepts and learn from it, To test various things (like code) and get feedback",3,4,5
2/27/2023 22:17:22,17-23,,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",3,3,2,"To test various things (like code) and get feedback, Entertainment purposes",1,1,2
2/27/2023 22:19:51,24-28,,Undergraduate,Other,5,3,1,Haven't used it,3,1,1
2/27/2023 22:24:56,17-23,,Undergraduate,Social Sciences,3,3,4,"To do my homework faster (time pressure), To do my homework (laziness/no interest), To explain concepts and learn from it",5,2,3
2/27/2023 22:40:14,17-23,,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",1,5,5,"To do my homework faster (time pressure), To explain concepts and learn from it, To test various things (like code) and get feedback",3,5,5
2/27/2023 22:43:39,17-23,,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",2,1,3,"To explain concepts and learn from it, Entertainment purposes, Other",4,2,3
2/27/2023 22:48:04,17-23,,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",2,2,2,To do my homework faster (time pressure),4,4,4
2/27/2023 23:00:23,17-23,,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",3,5,1,Haven't used it,3,,3
2/27/2023 23:03:20,17-23,,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",3,3,2,"To explain concepts and learn from it, Entertainment purposes",3,3,3
2/28/2023 1:01:14,17-23,,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",4,3,4,"To do my homework faster (time pressure), To explain concepts and learn from it, Entertainment purposes",2,3,3
2/28/2023 7:51:10,24-28,,Graduate,"Sciences (Physics, Med, Comp Sci, etc.)",2,4,1,"To explain concepts and learn from it, Other",3,1,1
2/28/2023 8:16:32,17-23,,Undergraduate,Law,3,2,1,"To explain concepts and learn from it, Entertainment purposes",4,3,1
2/28/2023 11:57:52,17-23,,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",1,3,5,"To do my homework faster (time pressure), To do my homework (laziness/no interest), To explain concepts and learn from it",3,4,5
2/28/2023 12:44:09,17-23,,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",2,4,1,"Entertainment purposes, Haven't used it, Other",3,1,5
2/28/2023 13:40:14,17-23,,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",2,4,1,Haven't used it,2,3,3
2/28/2023 13:42:53,17-23,,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",4,5,2,"To explain concepts and learn from it, Entertainment purposes",2,4,5
2/28/2023 14:24:50,17-23,,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",2,4,2,"To test various things (like code) and get feedback, Entertainment purposes",3,4,3
2/28/2023 14:28:09,17-23,,"Undergraduate, TA","Sciences (Physics, Med, Comp Sci, etc.)",2,3,4,"To do my homework faster (time pressure), To explain concepts and learn from it, Entertainment purposes",4,3,4
2/28/2023 14:30:30,17-23,,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",3,5,3,"To explain concepts and learn from it, To test various things (like code) and get feedback, Entertainment purposes",3,4,4
2/28/2023 14:31:24,17-23,,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",5,3,2,"To do my homework (laziness/no interest), To explain concepts and learn from it, Entertainment purposes",2,3,5
2/28/2023 14:50:51,24-28,,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",4,4,2,"To do my homework faster (time pressure), To explain concepts and learn from it, To test various things (like code) and get feedback, Entertainment purposes",5,1,3
2/28/2023 15:08:58,17-23,,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",3,5,3,"To do my homework faster (time pressure), To explain concepts and learn from it, To test various things (like code) and get feedback",3,,5
2/28/2023 15:22:13,17-23,,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",1,2,2,"To do my homework (laziness/no interest), To explain concepts and learn from it, To test various things (like code) and get feedback, Entertainment purposes",4,4,5
2/28/2023 15:27:20,17-23,,Undergraduate,Languages,2,4,2,Entertainment purposes,5,2,1
2/28/2023 15:43:37,24-28,,"Undergraduate, TA","Sciences (Physics, Med, Comp Sci, etc.)",5,4,2,"Entertainment purposes, Other",3,4,4
2/28/2023 16:19:56,17-23,,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",2,3,2,To do my homework (laziness/no interest),3,3,3
2/28/2023 18:13:22,17-23,,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",5,5,4,"To explain concepts and learn from it, Entertainment purposes",3,4,4
2/28/2023 18:16:27,17-23,,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",1,2,1,Haven't used it,2,,4
2/28/2023 18:16:42,17-23,,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",3,3,4,"To do my homework faster (time pressure), To explain concepts and learn from it, To test various things (like code) and get feedback",3,4,5
2/28/2023 18:25:06,17-23,Female,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",4,4,5,"To do my homework faster (time pressure), To explain concepts and learn from it, Entertainment purposes",3,3,5
2/28/2023 18:34:13,17-23,Female,Undergraduate,Other,5,4,2,"To explain concepts and learn from it, To test various things (like code) and get feedback",1,3,3
2/28/2023 18:34:57,17-23,Female,Undergraduate,Arts and Music,5,5,3,"To explain concepts and learn from it, Entertainment purposes",1,4,5
2/28/2023 18:35:07,17-23,Female,Undergraduate,Other,5,4,2,"To explain concepts and learn from it, Entertainment purposes",1,2,3
2/28/2023 18:35:09,17-23,Male,Undergraduate,Other,3,3,1,To do my homework faster (time pressure),1,3,1
2/28/2023 18:36:09,17-23,Female,Graduate,"Sciences (Physics, Med, Comp Sci, etc.)",5,4,1,Haven't used it,2,3,3
2/28/2023 18:43:38,17-23,Male,Graduate,"Sciences (Physics, Med, Comp Sci, etc.)",1,3,3,"To explain concepts and learn from it, Entertainment purposes",2,5,5
2/28/2023 18:44:26,17-23,Female,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",4,3,3,"To explain concepts and learn from it, To test various things (like code) and get feedback, Entertainment purposes",4,3,4
2/28/2023 18:47:22,17-23,Male,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",2,5,5,"To do my homework faster (time pressure), To do my homework (laziness/no interest), To explain concepts and learn from it",3,5,5
2/28/2023 18:52:18,17-23,Male,Undergraduate,Social Sciences,2,3,1,Haven't used it,5,1,1
2/28/2023 18:55:03,17-23,Male,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",2,3,4,"To do my homework faster (time pressure), To explain concepts and learn from it, To test various things (like code) and get feedback, Entertainment purposes",3,5,4
2/28/2023 18:59:53,17-23,Female,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",3,4,1,Haven't used it,3,3,3
2/28/2023 19:02:49,17-23,Female,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",2,5,1,Haven't used it,3,,3
2/28/2023 19:12:43,17-23,Female,Undergraduate,Other,4,4,1,Haven't used it,4,3,3
2/28/2023 19:16:31,17-23,Female,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",3,3,1,Haven't used it,1,1,1
2/28/2023 19:21:29,17-23,Male,Graduate,"Sciences (Physics, Med, Comp Sci, etc.)",4,2,4,"To do my homework faster (time pressure), To do my homework (laziness/no interest), To explain concepts and learn from it",1,4,5
2/28/2023 19:23:25,17-23,Female,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",1,2,1,Haven't used it,3,3,3
2/28/2023 19:27:46,17-23,Female,"Undergraduate, Graduate","Sciences (Physics, Med, Comp Sci, etc.)",2,3,1,Haven't used it,3,3,3
2/28/2023 19:41:35,17-23,Male,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",2,2,4,"To test various things (like code) and get feedback, Entertainment purposes",2,4,4
2/28/2023 19:48:52,17-23,Female,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",4,4,1,Haven't used it,5,3,3
2/28/2023 19:52:38,17-23,Female,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",3,5,3,"To explain concepts and learn from it, To test various things (like code) and get feedback",2,4,5
2/28/2023 20:41:08,17-23,Female,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",2,4,1,Haven't used it,4,,4
2/28/2023 20:59:56,17-23,Female,Undergraduate,"Sciences (Physics, Med, Comp Sci, etc.)",3,5,3,"To explain concepts and learn from it, Entertainment purposes",5,3,2
